17200 57378
5111 50 327
21024 96 605
39371 506 596
47989 182 205
44281 112 130
47471 106 194
14453 69 112
22255 187 302
10175 85 651
54163 188 215
15887 100 322
54441 405 685
29564 6 80
38774 180 442
39010 277 563
34001 321 582
18497 256 401
29695 70 573
26122 479 596
3494 202 224
46205 179 422
25008 417 483
5376 180 639
51998 257 567
24191 33 476
34030 23 97
35352 314 631
13074 282 539
2670 121 174
6389 62 416
14038 411 671
46780 8 451
8687 539 549
6547 341 521
25033 386 607
11811 530 590
36349 86 516
55784 168 332
35993 264 373
36972 32 639
29573 7 161
38660 321 450
28161 267 521
49456 124 585
16401 146 394
35065 447 613
50394 277 328
19602 236 574
28594 351 483
33088 204 326
52767 133 158
48153 191 292
20295 110 343
53347 370 462
6530 397 573
38665 80 540
37140 102 626
35065 375 624
32267 174 475
53028 282 551
42740 45 256
8053 115 168
42453 38 141
6817 73 222
19373 112 144
37486 264 549
11297 291 684
47273 227 535
56623 45 591
50316 183 617
18617 367 439
54293 95 656
44460 81 478
17678 297 673
42953 56 210
21456 33 124
4668 254 564
5938 132 332
56347 59 136
10255 155 267
33863 21 296
36934 234 258
51197 124 144
26603 634 660
43938 310 688
17200 386 500
195 486 495
10459 218 636
49416 551 613
27064 84 281
619 181 579
41527 155 376
12754 497 542
43671 464 471
10997 481 597
53966 619 690
33466 295 538
42661 249 473
34980 57 85
8450 446 485
16636 180 552
36858 136 469
49047 281 522
38495 211 447
42308 59 149
47382 40 118
19100 496 504
50872 423 667
3516 38 667
48657 102 417
12126 184 281
55172 69 185
5200 223 387
38366 89 516
39398 304 453
17319 370 506
27527 161 541
16496 449 505
34984 89 691
35571 9 556
22956 149 356
14922 574 638
21872 314 634
4009 667 672
25540 616 655
29528 140 669
22725 132 271
22416 415 690
39915 221 447
3987 441 564
28619 165 604
35706 32 314
15170 139 677
25286 330 534
4613 285 639
20282 183 671
2477 171 189
7158 119 161
11899 236 546
1116 116 438
35476 33 99
1096 578 655
50160 194 249
27846 36 284
3807 194 284
25892 509 690
23880 404 551
13206 435 653
48877 151 384
35362 71 594
8705 410 673
6798 22 536
19321 144 341
7128 263 443
13065 147 286
4399 54 436
2043 448 654
43281 313 576
51640 362 437
53424 339 449
53255 309 604
6675 136 219
29237 136 581
40438 568 579
18037 160 422
22662 143 547
37665 46 448
15069 1 244
6504 157 415
29013 411 474
40893 107 578
10024 87 624
37733 424 648
54558 474 502
1137 48 450
1309 184 215
42608 78 665
3056 322 678
44517 33 531
54461 41 494
7993 63 629
2366 434 572
22042 480 515
53676 321 530
41702 476 578
8961 208 686
33390 473 629
19821 226 605
35136 152 216
2940 30 85
33590 49 219
45269 420 476
13720 169 341
56369 397 449
42153 28 541
12366 216 563
1883 143 320
56236 604 614
1634 370 458
24029 449 610
22757 46 619
25117 177 236
5110 305 451
22181 265 327
54035 173 502
13602 281 464
17046 149 656
35399 250 299
28432 46 634
32301 74 204
4723 214 225
49799 19 417
42059 374 529
33391 216 433
46821 166 245
16933 168 294
14272 15 540
15876 432 529
37586 390 397
32460 326 444
45069 33 248
21727 236 516
56703 117 684
45187 337 442
26450 154 414
4432 128 241
2720 52 428
12388 214 287
2344 79 666
53751 372 508
20167 462 532
28719 152 350
52948 51 196
46328 404 479
18776 65 118
39763 108 481
44978 372 466
54841 93 269
40464 341 651
1463 38 515
22257 226 403
34000 94 365
357 117 188
10318 298 329
17025 68 608
41807 102 685
1285 276 591
29929 436 450
16419 127 353
34122 349 364
24417 5 411
4604 564 656
19236 288 505
16779 4 83
41209 37 349
4664 669 688
38799 179 582
8821 157 287
33556 30 519
52790 68 633
48360 124 639
52086 328 336
30918 107 193
36665 491 501
29576 454 467
43737 25 342
53022 306 412
51126 146 221
34345 213 418
19193 380 404
28046 256 455
39342 392 455
34742 37 318
31764 590 641
50034 521 638
40412 537 615
32866 449 621
1310 260 418
23511 75 84
17412 255 286
20068 26 528
25902 377 520
5539 79 366
7731 131 153
5985 192 596
42188 430 678
6559 31 621
8854 236 408
18000 597 634
32 228 539
46982 114 608
24624 278 673
14557 458 663
47198 52 495
34505 422 424
26849 230 235
56308 54 580
4055 54 450
39789 612 666
47584 74 322
35596 167 359
56891 158 482
6277 21 375
5378 422 562
19208 299 409
11011 384 669
13610 43 274
5956 126 521
31095 498 514
29874 464 492
34434 426 430
40860 269 669
56191 416 552
42121 431 451
40335 660 687
18701 318 520
39870 71 94
16752 307 620
14890 455 626
17842 120 162
18819 141 683
12192 72 504
15891 187 383
50313 351 364
9112 450 505
50126 87 421
32914 327 511
20251 152 331
51677 478 586
30668 171 178
21039 294 380
27219 52 443
56161 412 439
10196 110 208
52109 96 163
42058 167 600
56847 56 274
2959 205 264
2284 525 551
50524 287 505
17086 108 339
12336 534 651
30289 120 346
56786 331 534
18666 310 684
7383 238 363
50592 413 476
20636 214 255
33744 224 494
20331 602 607
20614 376 651
51190 109 629
46974 416 559
22975 253 262
31590 1 642
22946 239 291
110 458 564
53793 410 666
56978 539 545
12832 272 339
7763 614 620
40018 108 524
37841 305 329
1526 195 474
23285 293 303
14925 105 490
15590 244 407
12257 249 387
27471 543 685
25343 100 514
18284 35 333
18696 55 606
32556 202 364
25922 6 405
25744 87 264
53123 121 131
23942 336 676
1301 143 672
55173 522 570
43718 322 642
20709 454 632
9647 93 288
6311 156 546
8789 66 274
37325 70 118
44001 77 243
7944 90 159
27346 669 679
35567 38 43
42978 361 477
51754 49 587
7131 321 449
44968 555 666
46017 264 600
24245 46 64
57328 276 380
26606 293 396
6349 32 439
31604 148 524
12474 321 494
18001 222 666
42879 138 232
30783 431 488
16429 60 339
34584 421 572
16443 52 536
48930 422 510
24007 178 293
50135 134 229
52796 201 246
23377 171 267
40376 208 465
9939 77 394
40418 354 605
41007 266 614
6527 652 673
41740 431 489
36300 125 295
24514 173 197
24079 323 476
54825 88 404
53465 103 570
36270 351 641
39385 43 384
37097 121 687
31865 284 684
49136 239 600
21310 211 408
14458 89 557
43259 53 207
54144 61 555
52018 338 690
19563 192 598
26371 2 655
47006 74 653
3863 124 227
4673 120 235
33522 60 118
26838 62 620
25705 71 234
53343 280 682
7206 316 477
46389 630 655
19630 436 451
44791 52 165
25848 62 126
6850 71 480
44497 17 398
10183 212 630
42665 173 640
52185 181 435
31854 389 527
48362 26 446
34508 2 173
9857 77 318
37814 425 681
51698 139 144
53762 277 683
5825 213 630
31104 347 531
42601 15 48
10627 145 186
51925 271 298
18874 89 91
55595 237 304
23640 11 432
14170 48 523
13058 128 533
41590 357 383
23846 331 372
12972 108 564
13542 135 458
39953 58 411
4480 221 544
45015 24 176
33931 337 672
5077 37 625
715 304 443
39012 123 431
20602 335 609
26539 96 338
16707 230 256
41554 78 80
39411 227 381
51282 665 687
491 510 673
24154 181 327
41905 271 589
43938 212 626
11337 34 366
23927 495 558
24861 264 580
422 183 546
50328 260 270
31250 39 692
55734 281 678
10316 50 434
11133 141 369
20108 463 508
55173 430 689
32890 258 274
10125 149 546
37577 60 378
43538 191 305
42570 333 679
10248 242 562
45176 41 690
7582 98 143
27080 158 474
14313 227 521
24292 120 201
12328 202 437
41742 393 660
26282 74 177
47054 307 453
7075 299 671
23334 196 576
42658 299 599
57355 570 625
45998 291 624
44948 320 477
48535 185 601
47694 187 564
43937 545 580
39233 73 402
36925 54 148
50729 86 309
26 312 507
44699 47 224
46333 434 461
30638 114 306
34368 57 508
7363 123 376
43442 201 351
9187 507 561
1816 330 659
34085 345 519
30890 59 310
37294 242 520
36431 543 599
56819 40 403
14573 30 296
46231 14 623
3337 369 452
7883 379 614
20346 11 637
14215 341 374
4474 114 416
51698 135 472
8174 139 564
13742 163 397
30157 133 445
25203 193 212
55459 219 415
36156 203 581
1595 571 637
1069 497 540
6947 185 443
20113 185 228
50269 329 472
38980 536 620
42153 137 613
1392 15 613
22328 512 551
45829 343 529
7580 438 679
32120 47 124
40714 194 302
55053 333 386
43954 302 323
51500 346 672
5470 57 685
32985 102 283
12475 650 666
50506 95 589
29328 190 334
16155 98 678
54395 307 640
54574 484 582
42726 92 221
35619 236 672
26490 234 460
31542 179 338
9833 472 630
47300 98 559
9913 277 523
40415 474 691
24763 293 531
41031 98 470
20571 444 668
37464 377 582
19608 226 561
33593 39 180
26871 225 523
54915 15 186
29926 355 464
4728 40 232
48507 2 313
20879 160 450
22797 237 492
6431 185 362
51045 151 679
6171 388 650
7582 112 664
39744 385 662
3923 227 453
53557 145 403
39015 312 619
16929 302 487
31898 535 541
43291 180 677
50035 237 549
2746 84 177
23179 160 211
3068 180 658
7247 1 560
32753 242 619
39524 282 463
43761 202 222
51050 325 556
37778 311 688
53474 52 215
51490 56 605
27656 32 677
7056 140 156
12402 189 336
32202 133 369
19949 447 686
38444 455 550
55115 193 354
17901 107 198
16656 452 689
7905 232 532
21943 158 243
29770 121 661
20158 11 190
43879 108 482
34091 191 686
28465 493 660
44682 470 641
15528 86 283
11016 221 366
55644 603 649
33396 341 579
47287 254 623
42738 603 639
7090 108 355
48402 130 551
38827 84 113
6874 124 544
47066 149 457
24320 138 688
52637 193 389
18142 651 658
32123 410 605
56944 122 153
34633 19 285
3548 8 503
46697 325 426
17319 485 584
9651 87 107
40292 385 489
40302 454 518
26838 214 597
9930 62 490
40893 374 521
32969 171 403
28520 192 239
51425 137 581
34102 84 306
53370 42 467
52047 373 676
19854 9 453
41293 241 391
41320 224 527
43572 419 562
26883 38 181
36286 86 319
43471 244 469
38103 365 611
12420 124 258
23557 584 689
56606 27 574
46999 301 545
39886 198 327
31886 360 512
14151 19 99
18845 438 480
44536 327 470
7857 197 199
8334 263 386
41232 126 145
25202 268 632
14350 244 539
13383 61 396
26648 164 619
23076 385 572
48892 32 216
43525 324 468
46026 56 665
2183 93 619
56740 313 627
21713 5 565
15240 130 372
37728 147 264
21507 139 561
19487 93 410
9270 64 253
3481 40 520
3462 97 531
30935 461 534
33587 181 649
20572 351 520
42935 161 231
33813 134 441
25825 530 557
28594 162 686
25547 421 520
45187 179 566
45303 196 393
36798 361 385
31108 81 649
21163 48 183
1088 200 251
18500 189 492
25651 107 499
52871 226 663
52322 329 421
53116 17 614
20671 424 570
5421 142 463
48617 157 294
9225 239 446
53444 293 464
1012 242 437
49942 392 605
17613 458 562
49067 228 518
47815 4 63
37770 8 691
13803 615 647
16551 15 128
28878 234 595
35736 133 160
4033 233 535
45483 196 505
47324 411 424
7240 253 291
54457 374 514
45316 190 391
15534 56 280
10130 58 150
21705 236 643
37752 451 588
31043 136 405
28978 173 446
33524 99 308
23416 53 346
29186 313 559
20402 368 591
56017 165 243
37226 587 596
4197 56 685
25811 439 542
55983 376 617
18170 38 210
20308 435 497
46517 341 489
41663 36 85
3346 399 639
45591 248 343
25886 101 242
27844 356 471
22595 262 557
7264 71 316
19095 94 317
50785 95 654
5520 4 689
657 617 633
47642 181 661
5127 34 82
770 543 640
9586 141 175
42023 258 677
15724 61 612
40140 49 50
17714 133 311
54969 90 409
21619 48 165
11664 135 208
55431 197 579
55388 511 667
26171 298 576
34859 137 456
6248 219 473
24624 111 674
43921 9 75
44904 95 627
18055 59 275
30194 31 227
52020 105 590
20990 83 230
3209 217 507
56985 97 608
45578 256 534
41824 171 267
37207 410 423
19942 335 544
53690 132 215
52311 117 443
22348 356 561
12732 127 572
12921 81 563
39156 147 280
25619 148 207
38624 307 473
29745 188 535
18133 546 570
31446 99 383
46519 310 629
50509 148 491
1627 208 329
57238 360 645
10792 352 599
30307 104 371
40550 248 487
40971 207 297
39943 317 402
25393 514 590
33312 226 507
52049 404 627
52332 236 259
36959 13 351
36227 220 334
36772 301 660
27178 264 322
52361 415 529
7786 102 617
5065 307 309
31052 128 601
5496 451 686
27187 84 255
26497 399 482
37244 103 523
29275 473 556
2706 116 210
7352 42 209
42230 77 677
393 248 389
54623 41 259
20144 344 573
50697 235 682
33955 450 480
983 116 533
30596 512 603
34401 379 499
2259 373 416
23588 71 415
2825 493 666
11217 24 303
41633 322 499
15409 135 571
43558 627 679
47363 119 481
10264 175 640
10244 372 425
37487 97 373
26447 286 442
32433 184 451
24926 269 278
43885 350 369
49500 362 412
53846 328 555
40150 322 684
40185 194 615
26451 492 520
14420 143 651
24339 28 355
7874 129 614
12180 406 441
2565 24 342
53577 399 687
6911 319 609
5326 17 247
28830 332 340
31419 221 510
44114 202 274
31317 76 216
40896 136 588
52011 500 504
37697 57 80
48281 385 385
3569 171 319
28294 427 608
24004 256 600
20770 148 222
10878 540 549
38250 331 355
57045 380 444
41380 137 396
35581 286 512
11354 54 446
52810 262 493
47935 128 349
42254 235 343
38938 476 623
14750 139 499
46867 31 100
39296 1 86
52836 62 415
47301 37 566
40135 615 648
5842 229 361
38264 551 631
28215 370 681
21336 346 649
55311 33 302
48774 118 586
51845 62 135
51588 374 594
31636 67 139
9316 120 640
5050 204 424
16299 146 580
3402 51 172
17945 287 606
37003 161 186
2289 410 424
18331 127 449
24359 145 688
52410 432 533
49623 162 330
34460 248 533
23559 109 230
45661 23 428
5111 306 659
16053 47 78
46650 214 220
13285 85 422
34859 70 536
34072 519 645
22959 45 550
33091 75 549
45788 139 438
34466 453 499
42416 47 226
22987 302 389
750 112 115
64 332 387
1767 234 365
48384 337 446
3262 100 382
27189 150 387
40963 51 599
14012 161 169
41780 426 567
47253 515 546
34745 24 105
22073 2 616
25754 51 318
51387 37 654
45316 129 406
19466 350 689
27145 177 505
14491 71 165
8383 378 636
25628 30 116
45996 233 508
46767 16 227
24146 400 508
57282 169 322
24837 262 447
34581 192 289
22609 53 294
49776 63 250
42023 544 668
12026 311 469
19411 111 300
2208 110 233
41231 679 691
41251 333 509
18146 2 62
32949 197 511
32978 111 279
20385 169 540
27472 416 419
21828 169 176
7659 85 586
50086 154 560
20685 211 285
27401 21 559
31658 298 596
28594 48 154
27356 196 203
57322 33 180
17268 194 588
30605 18 306
46324 188 365
46013 151 575
29690 577 649
19148 339 660
55579 546 553
37187 8 517
21900 562 658
1587 525 550
53719 535 661
25008 28 438
5128 22 164
31895 407 664
14839 230 420
3683 412 572
18173 182 224
39137 360 402
4132 474 669
13027 100 311
46653 142 339
41317 47 157
15570 346 395
11458 141 384
34214 97 317
24413 451 669
38026 127 453
16283 85 650
26846 68 549
8643 227 234
2075 189 224
52879 18 393
21336 256 452
26529 23 261
43763 212 592
20969 25 557
29448 371 651
1463 114 689
35034 167 445
3849 195 511
36542 85 459
4788 3 106
6063 269 299
15586 179 232
49826 396 647
16885 515 599
14485 200 331
1884 119 468
31938 295 447
21168 271 419
49475 221 372
10808 15 642
50535 223 527
8767 235 469
34584 172 382
34352 251 481
44567 320 427
8748 487 560
5838 93 259
26869 123 460
11701 84 511
29898 531 662
47606 105 261
21743 521 617
51853 111 217
45057 245 564
23888 115 554
42438 54 129
44322 82 418
19025 512 526
48823 43 486
35925 499 504
47621 370 413
30608 49 530
33427 279 644
54605 450 608
33554 201 469
26900 369 673
53270 204 218
19768 393 671
21365 60 184
28584 27 159
1395 126 187
1821 425 555
32254 61 692
40916 445 538
46545 475 534
28167 85 195
54628 47 80
17510 619 666
4874 13 689
21418 577 590
12242 204 215
4710 64 384
40259 116 625
53534 365 455
56442 254 680
1579 342 523
28610 361 507
26796 89 403
28912 92 165
56444 136 234
44285 197 626
11419 239 578
38503 519 621
47280 26 224
56012 288 512
4413 205 458
27341 162 188
40583 239 630
19420 348 448
40793 1 588
47769 126 237
18940 315 364
16353 71 228
50018 237 625
35796 117 421
572 75 284
42038 167 256
48289 360 531
16926 89 437
8208 216 604
26448 492 494
47153 1 22
49072 498 670
30477 175 610
13099 421 473
31914 43 209
46652 216 303
29463 403 606
44853 175 306
44356 35 406
49808 30 569
20070 432 546
6671 177 634
34323 280 507
50363 477 507
3046 59 262
25679 110 569
31623 120 341
25952 338 384
15493 305 409
12223 78 246
10269 242 445
13450 281 363
25442 213 690
5011 417 594
30796 153 442
3345 423 679
20842 428 548
55780 358 673
36267 421 467
48290 182 680
11394 285 577
35587 481 574
8839 144 482
1359 514 666
25411 285 360
17854 301 520
584 94 588
31547 28 395
36243 149 226
2926 144 461
4889 111 123
12901 205 255
9165 26 357
20695 37 414
27639 217 453
2508 172 373
35569 507 597
54035 281 506
50454 600 644
48478 268 366
4056 624 631
40729 276 675
41037 353 603
49133 207 458
44707 174 543
14492 63 343
32948 187 310
37287 70 390
47194 164 472
29334 74 183
671 64 540
54977 336 368
19112 111 202
28884 378 433
46255 334 530
37124 248 491
28122 97 165
16498 275 363
46486 271 303
24325 54 514
53358 654 685
12953 90 417
13422 258 386
31491 374 573
57070 273 446
11069 99 332
22516 644 680
17350 119 482
6938 108 271
9749 45 162
17046 148 314
23440 45 577
26724 68 460
46526 148 164
35190 259 355
7290 209 230
34448 132 594
14317 131 544
5139 111 406
166 89 283
27812 5 676
27760 363 585
8329 534 547
20901 219 375
29294 22 231
20968 254 628
50108 434 446
26089 21 567
28060 25 118
27613 429 529
44387 20 498
55718 22 554
53607 47 206
51578 68 591
6673 20 646
29289 263 669
48205 123 369
44749 510 681
7280 405 418
33096 101 425
16196 412 638
47384 137 303
5600 237 388
2033 133 687
37667 328 556
22205 70 196
18735 215 460
4075 510 514
14137 101 247
23333 249 549
11216 156 477
17581 105 230
33416 186 688
37805 303 663
46341 350 496
17796 195 294
48692 425 447
33773 453 546
2672 416 653
31365 255 532
26158 206 426
55529 504 616
18148 468 594
31354 162 615
21368 354 652
47944 614 687
35517 412 644
23266 22 178
55377 308 577
17914 304 484
54915 326 492
44655 306 405
45474 382 512
45617 340 676
6583 25 316
38682 655 681
28357 253 564
43949 511 612
10798 650 692
55277 283 524
49516 301 565
54941 485 490
56190 67 438
19252 166 474
46602 275 516
52490 312 635
33005 364 643
21908 198 512
8149 169 311
40715 293 489
23288 437 606
23896 27 193
44785 166 615
37530 95 357
32480 328 382
29554 99 534
26585 514 531
52208 455 635
26670 83 195
41558 17 225
40430 400 527
9023 86 523
39333 361 661
45249 221 377
52030 52 610
34336 27 75
31409 290 373
25041 284 379
43604 92 511
9170 4 615
47628 79 140
41472 72 344
6493 129 482
27020 65 334
24091 127 655
16430 115 307
34043 279 518
26350 295 640
50929 402 599
12099 179 407
34986 362 482
23687 191 600
24288 297 410
18917 261 555
32203 374 569
12332 83 272
40105 288 511
4394 246 493
22322 241 317
50505 167 378
50259 544 596
20089 372 413
21589 47 338
29080 659 667
21768 355 630
13504 413 538
10690 439 495
10554 178 685
48166 32 187
18761 272 407
18401 77 520
32209 161 207
47312 111 168
41452 109 366
24247 351 410
37731 48 449
41248 277 674
10346 409 643
38146 436 607
25828 62 646
8795 579 684
54267 436 556
24710 181 271
27914 2 560
13148 498 588
14202 73 649
53422 21 683
6219 387 544
45848 245 438
53607 127 305
35272 49 656
52322 94 135
49556 272 527
1818 288 372
24644 228 691
5453 191 572
43927 314 478
47552 202 451
10240 128 439
13003 72 473
2905 368 423
47463 166 584
47578 96 671
8060 122 622
57377 471 479
51109 348 444
10237 160 208
20292 94 399
25989 420 607
33461 424 675
2652 183 374
33597 617 650
45361 166 366
40815 187 609
31525 413 500
32641 456 532
1375 503 685
47594 41 636
18820 15 668
31879 234 613
14803 40 136
31643 157 322
1536 67 117
19338 44 409
15009 79 687
37388 269 643
40602 514 583
604 525 597
27005 8 317
53752 50 174
40858 263 661
13919 450 532
1301 42 81
4231 202 541
25410 51 362
49496 276 454
50515 97 260
13692 60 513
46445 85 342
56142 449 610
42832 453 567
44809 42 550
42390 360 555
35695 93 315
45051 202 236
16233 156 435
3607 144 390
19885 262 586
29385 277 389
39323 102 305
25320 303 426
19886 205 347
49860 557 609
21996 134 501
279 65 621
26389 11 95
36561 232 317
20402 426 561
26161 107 292
19805 601 689
52015 171 339
54005 166 448
12973 3 105
13600 374 599
40140 490 545
31946 33 526
39462 304 596
54823 16 474
33136 344 472
9402 151 523
25490 573 677
44474 252 649
3827 148 170
10623 135 662
22339 57 345
22383 119 593
26864 185 648
10277 71 328
27706 332 471
48289 67 667
44100 45 191
33492 20 468
17786 119 457
6645 329 486
28528 161 571
17075 606 625
45888 75 175
38865 450 528
16291 316 501
9092 260 368
29528 472 618
56094 16 257
25658 339 607
47059 329 344
34483 17 457
40245 16 538
46150 62 310
22349 105 207
30686 408 626
16016 40 477
56565 385 451
51769 40 363
52848 37 409
15644 377 570
4908 220 407
45944 526 545
50653 311 502
28950 19 640
30061 107 320
41708 184 330
37137 290 642
17533 84 119
6369 24 631
320 368 687
54207 112 659
30374 228 476
46276 491 554
40565 258 674
38701 477 673
5682 39 61
28707 55 662
53628 375 393
10130 221 480
31385 546 672
3800 13 573
7904 155 577
47925 119 172
34157 137 549
19627 449 692
49257 322 386
55953 36 394
3019 330 645
50885 215 520
5446 201 321
35212 189 256
8310 180 588
40940 139 330
22383 59 404
1594 217 306
8048 44 531
41409 400 438
51814 7 209
38605 351 595
34802 420 533
13965 623 623
12147 310 626
11771 173 670
18067 516 613
38190 372 675
45835 176 208
46557 583 650
4150 80 617
773 84 413
48993 371 378
4505 391 530
28646 215 359
10653 489 631
42855 267 372
3421 438 483
38351 403 485
12253 425 597
11815 135 367
21287 72 173
19092 335 347
37938 244 508
9737 64 123
27631 90 155
57265 546 617
3236 514 566
37382 268 393
51434 47 688
29797 161 305
33640 431 619
5129 315 384
5837 72 164
16 46 360
2200 34 444
50174 182 497
22414 158 660
27582 573 590
50402 67 547
56406 86 484
39440 575 594
5989 562 573
46578 641 648
55469 83 626
25170 94 154
29788 46 82
52341 203 574
37596 106 457
18829 114 481
30072 51 325
50442 489 627
25755 173 245
11339 118 394
995 255 671
16061 109 123
21211 253 401
38025 91 609
24309 498 587
15063 119 291
5203 236 307
17016 458 572
6084 202 277
54882 82 103
35854 345 572
26483 37 109
14720 226 488
19694 35 394
49819 238 406
19265 138 203
28077 541 579
39926 235 421
9148 6 253
50357 414 451
2697 318 341
53093 395 423
31206 50 356
7748 178 649
5599 420 503
49665 25 185
51793 339 663
27521 16 173
50858 321 574
47210 139 610
13362 237 380
28191 383 397
57359 395 655
21780 105 256
33879 616 619
14294 500 650
18470 335 595
19408 378 451
4694 117 268
18122 68 186
9581 458 672
46091 41 672
1942 401 643
42083 17 80
15801 179 584
48774 138 363
54362 241 675
3882 243 506
50089 363 391
39093 117 474
32718 284 509
44242 123 362
55824 348 355
6083 204 219
34644 152 428
5692 107 116
9390 160 610
51159 31 602
5633 214 353
12794 41 530
46486 139 412
13854 44 583
3946 299 443
34885 467 609
33271 247 657
19365 98 192
43420 43 172
48181 18 308
21654 163 597
49757 483 585
19033 321 470
54973 25 217
16550 190 406
21743 245 617
17477 74 669
34733 481 522
39387 46 376
5719 36 105
23023 46 516
42106 435 515
11335 459 625
18591 10 300
43622 276 338
16432 19 427
52914 113 495
8469 124 341
38672 405 408
13031 136 191
54519 496 515
45409 36 654
29617 257 266
6026 87 224
33595 11 351
15840 518 535
20521 267 498
44687 462 566
10379 267 617
44534 465 522
22812 36 377
16008 467 500
10093 54 286
14210 13 622
28687 5 582
21131 311 316
12562 130 557
53917 10 680
11522 142 437
18586 16 286
28475 404 537
19021 464 469
27956 287 652
25039 434 635
3764 214 525
18347 542 671
57278 64 168
54726 294 425
1716 58 509
42009 91 142
22216 139 444
42030 486 530
51327 236 333
6796 233 528
23640 76 276
14173 417 452
46427 645 658
55957 185 386
37908 531 627
23889 239 518
47312 146 153
32134 239 401
44805 93 336
36286 276 656
46636 62 517
3144 378 585
4047 70 651
56155 257 538
6306 245 492
54826 173 612
38610 173 257
4635 95 206
25089 182 503
24348 309 684
29372 271 337
29001 437 473
24626 233 615
2272 254 378
40875 221 292
52164 191 541
22218 96 317
39550 307 476
47648 63 103
22682 80 105
33092 128 282
48128 366 522
25088 92 297
11679 71 418
32300 71 499
53113 394 544
50517 9 13
43675 41 205
44453 570 621
28182 403 619
13472 530 621
28641 196 429
23779 217 623
44318 370 536
54720 298 635
57121 64 116
1392 347 487
29629 14 589
40493 333 374
30037 415 418
26655 150 593
39835 58 552
8253 213 349
49821 155 200
6128 255 632
3839 551 633
6489 31 226
28962 38 520
37831 16 285
15806 154 410
46124 241 466
51330 60 682
19498 138 555
27310 401 550
47773 69 341
236 310 634
50310 357 651
51928 548 593
39738 257 378
9846 187 651
28388 511 647
14047 194 389
37086 632 672
25774 101 373
51283 375 447
10104 93 345
41140 391 509
23704 9 656
36113 381 571
2954 507 509
319 143 307
33625 364 436
21646 98 431
41177 43 496
46876 108 661
43352 279 470
17748 2 68
28973 299 461
41375 190 230
42525 190 682
38571 173 182
2606 142 437
39051 186 560
4239 240 251
50630 129 259
43676 22 560
39554 91 463
56571 470 649
34880 322 666
32085 245 655
3976 677 691
15822 274 622
128 486 673
17298 46 124
53278 191 220
53780 343 649
8236 45 155
33519 581 594
11721 275 429
35310 19 576
1945 178 223
16570 206 523
10032 1 202
30220 522 662
41465 243 480
47896 38 622
315 130 300
15846 33 365
14041 47 468
16795 315 397
47710 17 275
48775 22 636
39306 400 460
29722 314 444
54862 411 477
7833 460 548
19349 38 217
38972 192 293
32653 97 296
21836 514 682
43263 351 431
56194 403 552
3115 2 532
35346 192 230
51908 87 408
20416 294 370
37415 434 554
41814 238 405
24736 127 468
15245 79 420
41355 158 500
10191 9 467
20476 180 395
25148 431 623
32796 372 660
15815 25 407
6508 52 140
42578 216 390
33903 315 566
36123 178 573
6664 326 451
6526 446 467
37433 89 632
32384 357 523
14615 122 449
39818 539 653
7184 37 211
3450 105 325
24798 208 294
44476 184 244
19605 294 316
4077 483 513
53069 227 672
14325 51 601
42369 411 487
10839 50 269
46244 468 648
15504 536 691
14847 274 489
9004 52 689
8531 253 361
39217 76 564
25694 194 306
23155 38 332
45825 354 427
30242 234 462
6884 371 646
15177 228 404
43927 221 347
48715 184 307
26667 329 330
47955 224 265
28856 419 518
40206 486 576
51133 93 625
2362 444 486
768 525 615
53229 23 239
52347 395 420
54740 35 461
21491 81 389
32721 19 450
2188 477 659
39248 100 544
38716 161 636
3889 559 692
51471 322 484
28011 99 614
32192 45 379
3192 265 489
22266 238 279
22725 215 220
6920 10 92
36552 331 645
29900 167 661
26674 516 588
9356 218 354
49876 79 331
51641 194 583
23862 529 536
24248 285 373
1187 27 30
43444 355 456
18072 317 423
45068 493 580
56942 143 292
10506 155 193
52204 466 539
29005 311 592
20512 100 550
27484 561 686
40542 485 505
33630 117 551
53483 37 51
31268 359 612
55254 279 518
22762 360 666
32012 249 550
34529 57 138
1451 543 648
3933 153 213
15262 149 177
11635 140 369
4352 461 533
20508 459 546
42373 68 325
40909 72 389
28530 291 363
16240 155 251
33631 215 573
54985 433 475
3454 56 181
47748 132 385
15873 181 407
10522 66 75
43344 564 657
20512 55 151
44159 327 530
31126 135 171
42099 293 595
12234 8 429
2113 99 450
5135 145 649
17356 192 684
20340 283 445
51230 82 467
52504 46 336
5360 197 465
51433 39 586
7136 328 644
40454 320 690
7514 78 211
14255 253 450
6833 154 167
37565 450 585
27323 458 503
12071 31 294
47957 30 137
45040 49 352
28881 91 242
39444 331 571
3786 298 381
35947 248 421
10807 541 569
25447 16 444
22384 229 349
24046 295 403
19731 123 418
47465 317 492
3928 190 524
43413 489 532
33970 548 667
19885 165 332
23226 581 671
277 137 274
34751 44 367
5594 29 571
22993 37 389
52324 194 502
3071 15 17
2610 184 442
6417 9 103
18212 16 40
11370 249 531
666 409 608
16016 71 117
17255 540 591
36469 279 369
523 179 481
24016 308 469
45802 75 292
32546 542 562
27084 37 507
25647 530 599
36847 142 537
15599 117 527
8765 146 518
42766 113 528
47346 301 539
44123 6 245
21804 220 343
26818 315 552
26875 211 244
33837 152 294
1625 169 450
55030 42 278
32946 33 458
20301 102 152
25654 313 661
11246 225 406
14096 372 583
27596 4 293
11426 273 545
24107 175 578
19346 325 667
30717 421 459
3285 89 321
11030 205 355
